Measurement outcome,Frequency
0000000000,33
0000000001,29
0000010000,19
0100000000,23
0100000001,7
0100000010,3
0100000011,2
0100000100,7
0100000101,3
0100000110,2
0100000111,3
0100001000,3
0100001001,4
0100001010,5
0100001011,3
0100001100,2
0100001101,2
0100001110,1
0100001111,1
0000010001,11
0100010000,8
0100010001,5
0100010010,5
0100010011,3
0100010100,1
0100010101,6
0100010110,6
0100010111,1
0100011000,4
0100011001,1
0100011010,3
0100011011,1
0100011100,5
0100011101,2
0100011111,6
0000010010,3
0100100000,11
0100100001,10
0100100010,6
0100100011,3
0100100100,7
0100100101,4
0100100110,1
0100100111,1
0100101000,4
0100101001,3
0100101010,1
0100101011,2
0100101100,5
0100101110,1
0000010011,7
0100110000,8
0100110001,7
0100110010,2
0100110011,1
0100110100,5
0100110101,2
0100111000,3
0100111001,2
0100111010,3
0100111100,1
0100111101,2
0100111110,3
0100111111,1
0000010100,3
0101000000,13
0101000001,12
0101000010,1
0101000011,2
0101000100,3
0101000101,1
0101000110,1
0101000111,2
0101001000,2
0101001001,4
0101001010,1
0101001100,5
0101001110,4
0101001111,1
0000010101,4
0101010000,5
0101010001,4
0101010010,2
0101010011,1
0101010100,3
0101010101,2
0101010110,1
0101011000,3
0101011001,2
0101011010,2
0101011011,1
0101011101,8
0000010110,1
0101100000,8
0101100001,4
0101100010,2
0101100011,1
0101100100,3
0101100101,1
0101100110,1
0101101000,1
0101101001,5
0101101010,1
0101101100,2
0101101110,2
0101101111,1
0000010111,2
0101110000,2
0101110001,8
0101110010,1
0101110011,1
0101110100,1
0101110101,4
0101110110,1
0101111000,2
0101111001,3
0101111010,2
0101111011,2
0101111100,3
0101111101,2
0101111111,1
0000011000,10
0110000000,16
0110000001,15
0110000010,6
0110000011,6
0110000100,1
0110000101,1
0110000110,2
0110000111,3
0110001000,1
0110001001,4
0110001010,3
0110001011,1
0110001100,5
0110001101,1
0110001110,2
0000011001,4
0110010000,5
0110010001,4
0110010010,3
0110010011,2
0110010100,1
0110010101,3
0110010110,4
0110011000,1
0110011001,2
0110011010,2
0110011011,1
0110011100,1
0110011101,7
0110011111,1
0000011010,2
0110100000,8
0110100001,9
0110100010,3
0110100011,4
0110100100,4
0110100101,3
0110100111,3
0110101000,2
0110101001,5
0110101011,3
0110101100,1
0110101101,4
0110101110,1
0000011011,2
0110110000,7
0110110001,5
0110110010,3
0110110011,1
0110110100,3
0110110101,1
0110110111,2
0110111000,3
0110111001,4
0110111010,1
0110111011,2
0110111100,1
0110111101,4
0110111110,1
0000011100,7
0111000000,12
0111000001,3
0111000010,4
0111000011,5
0111000100,11
0111000101,1
0111000110,6
0111000111,3
0111001000,6
0111001001,3
0111001010,10
0111001011,5
0111001100,4
0111001101,1
0111001110,2
0000011101,2
0111010000,3
0111010001,3
0111010010,4
0111010011,2
0111010100,2
0111010101,4
0111010110,1
0111010111,2
0111011000,4
0111011001,5
0111011010,2
0111011011,3
0111011100,5
0111011101,2
0111011110,1
0000011110,1
0111100000,10
0111100001,4
0111100010,7
0111100011,1
0111100100,5
0111100101,1
0111100110,2
0111100111,3
0111101000,4
0111101001,4
0111101010,1
0111101011,3
0111101100,4
0111101101,4
0000011111,3
0111110000,8
0111110001,3
0111110010,3
0111110011,6
0111110100,5
0111110101,2
0111110110,2
0111110111,2
0111111000,3
0111111001,2
0111111010,4
0111111011,1
0111111100,2
0111111101,3
0111111111,1
0000000010,9
0000100000,28
1000000000,32
1000000001,14
1000000010,8
1000000011,4
1000000100,9
1000000101,4
1000000110,1
1000000111,2
1000001000,5
1000001001,6
1000001010,5
1000001011,1
1000001100,1
1000001101,2
1000001110,1
1000001111,1
0000100001,15
1000010000,9
1000010001,4
1000010010,3
1000010011,4
1000010100,1
1000010101,4
1000011000,7
1000011001,3
1000011010,4
1000011011,1
1000011100,2
1000011101,2
0000100010,6
1000100000,22
1000100001,16
1000100010,2
1000100011,4
1000100100,6
1000100101,8
1000100110,1
1000100111,1
1000101000,8
1000101001,3
1000101010,1
1000101011,1
1000101101,4
0000100011,7
1000110000,10
1000110001,7
1000110010,5
1000110011,1
1000110100,3
1000110110,2
1000111000,8
1000111001,4
1000111010,6
1000111100,1
1000111101,5
1000111111,1
0000100100,7
1001000000,13
1001000001,10
1001000010,6
1001000011,4
1001000100,3
1001000101,2
1001000110,3
1001000111,1
1001001000,8
1001001001,5
1001001010,1
1001001011,1
1001001100,4
1001001101,2
1001001111,1
0000100101,4
1001010000,4
1001010001,1
1001010010,2
1001010011,2
1001010100,5
1001010101,3
1001010110,4
1001010111,1
1001011000,6
1001011001,1
1001011010,3
1001011011,1
1001011100,1
1001011101,3
0000100110,4
1001100000,11
1001100001,8
1001100010,4
