Measurement outcome,Frequency
00000000,64
00000001,50
00010000,18
00000010,31
00000011,27
00000100,33
00000101,24
00000110,25
00000111,16
00001000,37
00001001,22
00001010,12
00001011,15
00001100,24
00001101,20
00001110,11
00001111,11
00010001,21
00010010,14
00010011,17
00010100,24
00010101,16
00010110,9
00010111,11
00011000,38
00011001,26
00011010,19
00011011,16
00011100,23
00011101,17
00011110,12
00011111,15
00100000,49
00100001,20
00100010,18
00100011,18
00100100,23
00100101,8
00100110,11
00100111,6
00101000,31
00101001,17
00101010,9
00101011,9
00101100,17
00101101,15
00101110,10
00101111,8
00110000,32
00110001,23
00110010,18
00110011,16
00110100,15
00110101,8
00110110,10
00110111,12
00111000,36
00111001,24
00111010,22
00111011,12
00111100,22
00111101,15
00111110,15
00111111,8
01000000,51
01000001,39
01000010,19
01000011,16
01000100,19
01000101,18
01000110,10
01000111,9
01001000,23
01001001,23
01001010,10
01001011,13
01001100,16
01001101,11
01001110,4
01001111,7
01010000,23
01010001,16
01010010,13
01010011,8
01010100,11
01010101,10
01010110,9
01010111,10
01011000,14
01011001,16
01011010,18
01011011,10
01011100,15
01011101,8
01011110,7
01011111,11
01100000,24
01100001,27
01100010,13
01100011,4
01100100,16
01100101,12
01100110,6
01100111,13
01101000,23
01101001,13
01101010,13
01101011,8
01101100,11
01101101,9
01101110,9
01101111,7
01110000,28
01110001,11
01110010,7
01110011,7
01110100,25
01110101,9
01110110,10
01110111,6
01111000,32
01111001,15
01111010,16
01111011,12
01111100,24
01111101,15
01111110,9
01111111,11
10000000,57
10000001,38
10000010,30
10000011,18
10000100,31
10000101,22
10000110,9
10000111,13
10001000,29
10001001,20
10001010,12
10001011,16
10001100,13
10001101,14
10001110,13
10001111,5
10010000,23
10010001,12
10010010,12
10010011,12
10010100,18
10010101,6
10010110,8
10010111,2
10011000,19
10011001,15
10011010,16
10011011,13
10011100,25
10011101,15
10011110,11
10011111,4
10100000,45
10100001,25
10100010,21
10100011,15
10100100,18
10100101,7
10100110,6
10100111,4
10101000,22
10101001,11
10101010,7
10101011,8
10101100,7
10101101,11
10101110,6
10101111,7
10110000,19
10110001,16
10110010,20
10110011,9
10110100,10
10110101,4
10110110,11
10110111,7
10111000,36
10111001,22
10111010,10
10111011,16
10111100,25
10111101,19
10111110,9
10111111,10
11000000,71
11000001,24
11000010,25
11000011,18
11000100,29
11000101,27
11000110,10
11000111,16
11001000,28
11001001,17
11001010,12
11001011,5
11001100,16
11001101,10
11001110,16
11001111,5
11010000,32
11010001,10
11010010,15
11010011,8
11010100,21
11010101,7
11010110,6
11010111,8
11011000,17
11011001,20
11011010,10
11011011,8
11011100,13
11011101,13
11011110,10
11011111,3
11100000,36
11100001,26
11100010,11
11100011,15
11100100,16
11100101,11
11100110,13
11100111,7
11101000,23
11101001,13
11101010,7
11101011,5
11101100,15
11101101,16
11101110,9
11101111,5
11110000,34
11110001,21
11110010,14
11110011,11
11110100,13
11110101,16
11110110,7
11110111,15
11111000,25
11111001,24
11111010,11
11111011,16
11111100,23
11111101,15
11111110,8
11111111,11
