Measurement outcome,Frequency
00000000000,46
00000000001,19
00000010000,21
00100000000,8
00100000001,2
00100000010,5
00100000011,3
00100000100,5
00100000101,4
00100000110,2
00100000111,2
00100001000,5
00100001001,2
00100001011,1
00100001100,3
00100001101,1
00100001110,1
00100001111,1
00000010001,10
00100010000,4
00100010001,3
00100010011,1
00100010100,4
00100010110,2
00100011000,1
00100011001,2
00100011100,3
00100011101,3
00100011110,3
00100011111,1
00000010010,6
00100100000,4
00100100001,2
00100100010,1
00100100011,1
00100100100,1
00100101000,2
00100101001,2
00100101010,1
00100101011,1
00100101100,2
00100101101,1
00100101110,1
00000010011,8
00100110000,3
00100110001,1
00100110011,1
00100110100,5
00100110101,1
00100110110,1
00100110111,1
00100111010,2
00100111100,2
00100111101,2
00100111110,1
00100111111,1
00000010100,14
00101000000,4
00101000001,5
00101000011,1
00101000100,1
00101000101,3
00101000110,1
00101000111,2
00101001000,1
00101001001,2
00101001100,4
00101001101,2
00000010101,7
00101010000,2
00101010001,3
00101010011,1
00101010100,3
00101010101,2
00101010110,2
00101010111,1
00101011011,2
00101011100,1
00101011101,3
00000010110,5
00101100000,5
00101100001,1
00101100010,1
00101100011,2
00101100101,4
00101100110,1
00101101000,3
00101101010,1
00101101111,1
00000010111,4
00101110000,1
00101110010,1
00101110101,1
00101110110,1
00101111001,2
00101111010,1
00101111100,4
00101111110,1
00000011000,10
00110000000,10
00110000001,6
00110000010,1
00110000011,1
00110000100,5
00110000101,6
00110000110,1
00110001000,3
00110001001,1
00110001010,1
00110001011,1
00110001100,2
00110001101,2
00110001111,1
00000011001,7
00110010000,4
00110010001,3
00110010011,2
00110010100,2
00110010101,4
00110010110,1
00110011000,2
00110011001,3
00110011010,1
00110011011,1
00110011100,1
00110011101,1
00000011010,6
00110100000,2
00110100001,6
00110100010,1
00110100011,1
00110100100,1
00110100110,2
00110101000,1
00110101001,1
00110101011,1
00110101101,2
00110101110,1
00110101111,1
00000011011,3
00110110000,2
00110110001,3
00110110010,1
00110110011,3
00110110100,2
00110110110,1
00110111000,2
00110111001,2
00110111011,1
00110111100,4
00110111101,1
00000011100,10
00111000000,6
00111000001,3
00111000011,4
00111000100,1
00111000101,3
00111000110,1
00111001000,2
00111001001,1
00111001011,1
00111001100,3
00111001101,1
00111001111,2
00000011101,3
00111010000,2
00111010010,2
00111010011,3
00111010101,1
00111010110,1
00111010111,1
00111011000,1
00111011001,2
00111011010,1
00111011101,4
00111011110,2
00000011110,5
00111100000,4
00111100001,3
00111100010,2
00111100011,1
00111100100,2
00111100101,1
00111101000,1
00111101010,1
00111101100,3
00000011111,1
00111110000,2
00111110100,4
00111110111,1
00111111000,2
00111111001,2
00111111011,1
00111111100,2
00111111101,1
00000000010,11
00000100000,8
01000000000,6
01000000001,10
01000000010,6
01000000011,1
01000000100,9
01000000101,1
01000000110,1
01000001000,2
01000001011,1
01000001100,3
01000001101,2
00000100001,9
01000010000,5
01000010001,4
01000010010,1
01000010011,2
01000010100,2
01000010111,2
01000011000,4
01000011001,1
01000011100,3
01000011101,2
01000011111,1
00000100010,5
01000100000,3
01000100001,5
01000100100,4
01000100111,1
01000101100,1
00000100011,3
01000110000,3
01000110001,3
01000110011,1
01000110100,4
01000110101,1
01000111000,1
01000111101,1
01000111110,1
00000100100,8
01001000000,5
01001000011,1
01001000100,5
01001000101,2
01001001000,3
01001001001,1
01001001010,1
01001001100,1
01001001110,1
01001001111,2
00000100101,5
01001010000,3
01001010100,1
01001010110,2
01001010111,1
01001011000,2
01001011100,2
01001011101,1
01001011111,1
00000100110,3
01001100000,1
01001100001,4
01001100010,3
01001100011,1
01001100100,1
01001101000,2
01001101011,1
01001101101,1
01001110000,1
01001110001,1
01001110101,1
01001110111,2
01001111000,1
01001111100,1
01001111110,1
00000101000,5
01010000000,9
01010000001,4
01010000010,4
01010000100,6
01010001000,2
01010001001,1
00000101001,2
01010010000,3
01010010001,4
01010010010,2
01010010100,3
01010010101,1
01010010110,2
01010011000,2
01010011001,1
01010011010,2
01010011011,2
01010011101,2
01010011110,2
00000101010,2
01010100000,2
01010100001,1
01010100010,1
01010100011,2
01010100100,2
01010100101,2
01010101001,1
01010101101,1
01010110001,1
01010110101,1
01010111000,1
01010111100,1
01010111110,1
01010111111,1
00000101100,6
01011000000,6
01011000010,1
01011000100,1
01011000101,1
01011000110,1
01011001000,1
00000101101,2
01011010000,1
01011010010,2
01011010011,1
01011010111,1
01011011000,4
01011011100,1
01011011101,1
00000101110,1
01011100000,2
01011100001,1
01011100010,2
01011100100,1
01011100101,3
01011101100,1
01011101101,1
01011110000,1
01011111000,1
01011111101,2
00000000011,13
00000110000,12
01100000000,11
01100000001,7
01100000010,3
01100000011,2
01100000100,5
01100000101,3
01100000110,1
01100000111,2
01100001000,2
01100001001,1
01100001011,1
01100001100,2
01100001101,2
01100001110,4
01100001111,1
00000110001,8
01100010000,6
01100010001,4
01100010010,2
01100010100,2
01100010101,3
01100011000,1
01100011001,2
01100011011,1
01100011100,5
01100011101,3
00000110010,2
01100100000,4
01100100001,2
01100100100,4
01100100101,1
01100100111,1
01100101001,1
01100101101,4
00000110011,2
01100110000,4
01100110010,1
01100110100,1
01100110101,1
01100110110,2
01100111000,3
01100111001,1
01100111100,1
01100111101,2
01100111110,1
00000110100,5
01101000000,4
01101000001,4
01101000010,2
01101000100,1
01101000101,2
01101000110,1
01101001110,1
00000110101,5
01101010001,1
01101010011,1
01101010100,1
01101010101,1
01101010110,1
01101011000,2
01101011001,1
01101011010,1
01101011100,1
01101011110,2
01101011111,1
01101100000,2
01101100001,1
01101101000,1
01101101101,2
01101101111,1
00000110111,2
01101110000,1
01101110001,4
01101110100,1
01101111100,1
01101111101,1
00000111000,3
01110000000,12
01110000001,5
01110000010,5
01110000100,6
01110000101,7
01110000110,2
01110001000,2
01110001001,4
01110001010,2
01110001011,1
01110001100,4
01110001101,5
01110001110,2
00000111001,2
01110010000,7
01110010001,2
01110010010,4
01110010011,1
01110010100,3
01110010101,2
01110011000,3
01110011001,1
01110011010,1
01110011101,2
01110011111,1
00000111010,1
01110100000,5
01110100001,1
01110100010,1
01110100011,1
01110100100,2
01110100111,2
01110101000,2
01110101100,2
01110101101,1
01110110000,4
01110110001,3
01110110100,1
01110110111,1
01110111000,2
01110111001,2
01110111010,1
01110111100,7
01110111110,2
01110111111,1
00000111100,9
01111000000,10
01111000001,3
01111000010,6
01111000100,3
01111000101,3
01111000110,2
01111001000,2
01111001001,1
00000111101,5
01111010000,4
01111010001,3
01111010010,1
01111010100,4
01111010101,1
01111010110,3
01111011000,2
01111011001,1
01111011010,2
01111011100,3
01111011110,1
01111011111,1
00000111110,1
01111100000,7
01111100001,1
01111100100,2
01111100111,1
01111101000,1
01111101010,3
01111101100,2
01111101101,2
01111110000,2
01111110001,2
01111110010,1
01111110101,2
01111110111,1
01111111000,3
01111111100,2
01111111101,4
01111111111,1
00000000100,19
00001000000,19
10000000000,18
10000000001,1
10000000010,1
10000000011,3
10000000100,3
10000000101,7
10000000110,2
10000000111,1
10000001000,5
10000001001,3
10000001010,2
10000001100,4
10000001101,1
10000001110,4
10000001111,2
00001000001,10
10000010000,6
10000010001,4
10000010010,3
10000010011,2
10000010100,2
10000010101,3
10000010111,2
10000011000,1
10000011001,1
10000011010,2
10000011011,4
10000011100,3
10000011101,2
10000011110,1
00001000010,5
10000100000,6
10000100001,2
10000100010,1
10000100100,1
10000100101,4
10000100110,2
10000101000,2
10000101100,4
10000101101,1
10000101111,1
00001000011,2
10000110000,2
10000110001,2
10000110011,1
10000110100,5
10000110101,1
10000111000,2
10000111010,1
10000111100,1
10000111101,1
10000111110,2
10000111111,3
00001000100,7
10001000000,8
10001000001,5
10001000010,1
10001000100,1
10001000101,5
10001000110,2
10001000111,1
10001001000,2
10001001001,2
10001001011,1
10001001100,2
10001001101,1
10001001110,1
00001000101,4
10001010000,4
10001010001,2
10001010010,1
10001010011,1
10001010100,2
10001010101,1
10001010110,2
10001011000,4
10001011001,3
10001011010,1
10001011100,5
10001011101,2
10001011110,1
00001000110,1
10001100000,4
10001100001,1
10001100010,1
10001100100,1
10001100101,1
10001100111,1
10001101000,1
10001101001,2
10001101011,1
10001101100,4
10001101101,1
10001110000,1
10001110010,1
10001110100,3
10001110101,1
10001110110,2
10001110111,1
10001111000,1
10001111001,2
10001111010,1
10001111100,1
10001111110,1
10001111111,1
00001001000,5
10010000000,9
10010000001,6
10010000010,1
10010000011,3
10010000100,4
10010000101,4
10010000110,1
10010001000,5
10010001010,1
10010001100,2
00001001001,1
10010010000,4
10010010001,1
10010010010,1
10010010011,2
10010010100,3
10010010101,3
10010010111,2
10010011000,1
10010011011,2
10010011100,3
10010011110,1
00001001010,1
10010100000,1
10010100001,4
10010100100,2
10010100101,2
10010100110,1
10010101000,1
10010101001,1
10010101010,1
10010101100,1
10010101101,3
10010101110,1
10010110000,2
10010110001,1
10010110010,1
10010110110,1
10010111000,3
10010111100,2
10010111101,1
00001001100,10
10011000000,2
10011000001,3
10011000010,1
10011000100,2
10011000110,2
10011001000,4
10011001001,1
10011001100,1
10011001101,1
10011001110,1
10011001111,1
00001001101,1
10011010000,7
10011010001,3
10011010010,1
10011010100,1
10011010110,2
10011010111,2
10011011000,1
10011011001,1
10011011010,1
10011011100,1
10011011101,2
00001001110,3
10011100000,3
10011100010,1
10011100100,1
10011100101,1
10011101000,3
10011101001,1
10011101011,1
10011101100,3
10011101101,2
00001001111,1
10011110000,2
10011110001,3
10011110011,1
10011110101,2
10011111000,1
10011111001,1
10011111010,1
10011111100,1
10011111101,1
10011111110,1
00000000101,9
00001010000,8
10100000000,10
10100000001,1
10100000010,4
10100000011,3
10100000100,1
10100000101,2
10100000110,2
10100001000,4
10100001010,1
10100001100,1
10100001101,1
10100001110,1
10100001111,2
00001010001,7
10100010000,3
10100010001,1
10100010010,1
10100010011,2
10100010100,4
10100010101,3
10100010110,1
10100011000,3
10100011010,2
10100011100,3
10100011101,1
10100011110,1
00001010010,5
10100100001,1
10100100010,1
10100100100,1
10100100110,1
10100101000,2
10100101100,1
10100101101,1
10100101110,1
00001010011,1
10100110000,1
10100110010,2
10100110100,2
10100110111,1
10100111000,1
10100111001,2
10100111010,1
10100111101,2
10100111111,1
00001010100,4
10101000000,3
10101000001,1
10101000010,1
10101000011,1
10101000101,1
10101000110,1
10101001000,4
10101001100,2
10101001101,1
00001010101,2
10101010000,2
10101010001,1
10101010101,1
10101011010,1
10101011111,1
00001010110,2
10101100000,2
10101100001,1
10101100010,1
10101100101,1
10101100110,1
10101101011,1
00001010111,2
10101110000,1
10101110100,1
10101110101,1
10101111000,1
10101111100,2
00001011000,7
10110000000,12
10110000001,1
10110000010,1
10110000011,1
10110000100,2
10110000101,1
10110000110,1
10110000111,1
10110001000,5
10110001001,3
10110001010,1
10110001011,1
10110001100,3
10110001101,1
00001011001,4
10110010000,3
10110010010,1
10110010011,2
10110010100,3
10110010101,1
10110010111,1
10110011000,4
10110011001,2
10110011010,2
10110011011,1
10110011100,3
10110011101,4
00001011010,2
10110100000,4
10110100001,2
10110100010,1
10110100011,2
10110100110,1
10110101000,1
10110101010,1
00001011011,1
10110110010,1
10110111000,3
00001011100,6
10111000000,4
10111000001,1
10111000011,1
10111000100,5
10111001000,3
10111001100,2
10111001101,1
00001011101,1
10111010000,1
10111010001,1
10111010010,1
10111010100,1
10111010101,1
10111010111,1
10111011000,2
10111011011,1
10111011100,1
10111011101,3
10111011110,1
00001011110,1
10111100000,1
10111100001,1
10111100101,2
10111101000,2
10111101100,2
10111101101,2
00001011111,1
10111110000,4
10111110010,2
10111110011,1
10111111000,1
10111111100,1
00000000110,8
00001100000,7
11000000000,16
11000000001,3
11000000010,4
11000000011,2
11000000100,8
11000000101,5
11000000110,4
11000000111,2
11000001000,4
11000001001,1
11000001011,3
11000001100,5
11000001101,3
11000001110,4
11000001111,1
00001100001,7
11000010000,5
11000010001,4
11000010010,1
11000010011,1
11000010100,6
11000010101,3
11000011000,4
11000011001,1
11000011010,3
11000011011,1
11000011100,4
11000011101,3
11000011110,1
00001100010,5
11000100000,4
11000100011,2
11000100100,2
11000100101,1
11000100111,1
11000101000,2
11000101001,1
11000101010,1
11000101011,1
11000101100,1
11000101101,1
11000101111,2
11000110000,6
11000110001,1
11000110101,1
11000110110,1
11000111000,2
11000111011,1
11000111100,2
11000111101,1
11000111110,1
00001100100,8
11001000000,8
11001000001,3
11001000010,2
11001000011,1
11001000100,4
11001000101,1
11001000110,1
11001000111,1
11001001000,3
11001001010,1
11001001011,1
11001001100,2
11001001101,2
11001010000,7
11001010011,1
11001011000,4
11001011100,2
00001100110,1
11001100000,7
11001100001,3
11001100010,4
11001100011,1
11001100100,1
11001100101,1
11001100110,3
11001101001,2
11001101101,2
11001110000,2
11001110001,2
11001110111,1
11001111001,1
11001111100,1
11001111101,3
00001101000,3
11010000000,11
11010000001,8
11010000010,1
11010000011,1
11010000100,4
11010000101,1
11010000111,1
11010001000,5
11010001001,1
11010001100,2
11010001101,2
00001101001,6
11010010000,3
11010010001,1
11010010010,1
11010010100,3
11010010101,2
11010010111,1
11010011000,3
11010011001,2
11010011010,1
11010011011,2
11010011100,1
11010011101,1
11010011110,3
11010011111,1
00001101010,2
11010100000,2
11010100011,1
11010100101,1
11010101100,1
00001101011,1
11010110000,2
11010110001,1
11010110100,1
11010110101,1
11010110111,2
11010111000,4
11010111001,1
11010111100,1
11010111101,1
00001101100,5
11011000000,8
11011000010,1
11011000011,1
11011000111,1
11011001000,1
11011001010,4
11011001011,1
11011001110,1
00001101101,1
11011010000,4
11011010001,2
11011010010,2
11011010100,3
11011010101,1
11011011011,1
11011011100,2
11011011110,2
00001101110,3
11011100000,2
11011100100,1
11011100101,4
11011101000,1
11011101100,2
00001101111,1
11011110000,6
11011110001,2
11011110100,1
11011111000,1
11011111001,3
11011111010,1
11011111100,1
11011111110,1
11011111111,1
00000000111,11
00001110000,10
11100000000,18
11100000001,8
11100000010,6
11100000011,7
11100000100,8
11100000101,5
11100000110,3
11100000111,2
11100001000,6
11100001001,1
11100001010,2
11100001011,3
11100001100,8
11100001101,3
11100001110,1
11100001111,2
00001110001,4
11100010000,17
11100010001,12
11100010010,4
11100010011,3
11100010100,12
11100010101,1
11100010110,2
11100010111,3
11100011000,7
11100011001,2
11100011010,2
11100011011,1
11100011100,9
11100011101,1
11100011110,4
00001110010,5
11100100000,7
11100100001,6
11100100010,3
11100100011,1
11100100100,8
11100100101,1
11100100110,2
11100100111,2
11100101000,2
11100101010,1
11100101100,2
11100101101,4
11100101110,3
11100110000,8
11100110001,2
11100110010,3
11100110011,1
11100110100,6
11100110101,1
11100110110,4
11100110111,1
11100111000,7
11100111001,1
11100111011,1
11100111100,4
11100111101,2
00001110100,5
11101000000,10
11101000001,8
11101000010,4
11101000100,6
11101000101,2
11101000110,4
11101000111,4
11101001000,2
11101001001,1
11101001010,1
11101001011,2
11101001100,3
11101001101,2
11101001111,1
00001110101,3
11101010000,5
11101010001,2
11101010010,2
11101010011,3
11101010100,5
11101010101,2
11101011000,1
11101011001,4
11101011010,1
11101011011,1
11101011100,3
11101011101,2
11101011110,1
11101011111,1
00001110110,2
11101100000,6
11101100001,4
11101100011,1
11101100100,2
11101100101,2
11101100110,1
11101100111,1
11101101001,2
11101101011,1
11101101100,2
11101101101,1
11101101110,2
00001110111,3
11101110000,2
11101110001,3
11101110010,2
11101110011,1
11101110100,2
11101110110,1
11101110111,2
11101111000,3
11101111001,2
11101111010,1
11101111100,2
11101111101,2
11101111111,1
00001111000,4
11110000000,22
11110000001,9
11110000010,7
11110000011,6
11110000100,8
11110000101,4
11110000110,2
11110000111,3
11110001000,5
11110001001,4
11110001010,2
11110001100,6
11110001101,6
11110001110,3
11110001111,2
00001111001,2
11110010000,15
11110010001,3
11110010010,2
11110010011,8
11110010100,12
11110010101,3
11110010110,4
11110010111,2
11110011000,5
11110011001,3
11110011010,1
11110011100,9
11110011101,4
11110011110,3
11110011111,2
00001111010,1
11110100000,10
11110100001,3
11110100100,2
11110100101,1
11110100110,1
11110101000,4
11110101001,2
11110101100,5
11110101111,1
00001111011,1
11110110000,8
11110110001,3
11110110010,1
11110110100,4
11110110101,2
11110110110,2
11110110111,1
11110111000,6
11110111001,2
11110111011,1
11110111100,1
11110111101,3
11110111110,1
11110111111,1
00001111100,4
11111000000,16
11111000001,1
11111000010,6
11111000011,1
11111000100,6
11111000101,3
11111000110,4
11111000111,1
11111001000,5
11111001010,1
11111001100,3
11111001101,2
11111001110,2
11111001111,1
00001111101,2
11111010000,5
11111010001,3
11111010010,2
11111010011,3
11111010100,9
11111010101,3
11111010110,4
11111010111,2
11111011000,4
11111011001,5
11111011010,2
11111011011,2
11111011100,3
11111011101,4
11111011110,5
00001111110,4
11111100000,17
11111100001,3
11111100010,4
11111100011,3
11111100100,3
11111100110,6
11111100111,4
11111101000,6
11111101001,1
11111101010,2
11111101100,3
11111101101,1
11111101110,2
00001111111,2
11111110000,6
11111110001,1
11111110010,2
11111110011,1
11111110100,5
11111110101,2
11111111000,3
