Measurement outcome,Frequency
00000000000000,9
00000000000001,3
00000000010000,5
00000100000000,2
01000000000000,3
01000000000001,8
01000000000010,2
01000000000100,3
01000000000111,1
01000000001000,3
01000000001010,2
01000000001100,2
01000000001101,1
00000100000001,8
01000000010000,2
01000000010001,3
01000000010010,1
01000000010100,2
01000000011100,1
00000100000010,3
01000000100000,6
01000000100001,4
01000000100110,1
01000000100111,2
01000000101001,1
01000000101010,1
00000100000011,1
01000000110000,1
01000000110010,1
01000000111000,1
00000100000100,3
01000001000000,2
01000001000001,3
01000001000100,2
01000001000101,1
01000001000110,1
01000001001000,2
01000001001010,2
01000001001101,2
01000001010000,1
01000001010100,2
01000001011001,1
00000100000110,3
01000001100000,4
01000001100001,1
01000001100010,1
01000001100100,1
01000001101001,1
01000001101100,1
01000001110000,1
01000001110100,2
00000100001000,7
01000010000000,4
01000010000001,1
01000010000100,3
01000010000101,1
01000010000110,1
01000010001000,1
01000010001001,1
01000010001011,1
01000010001111,1
01000010010000,1
01000010010010,1
01000010010100,1
01000010010101,1
01000010011000,1
01000010100000,2
01000010100001,1
01000010100010,4
01000010100011,1
01000010100100,1
00000100001011,2
01000010110000,1
01000010110001,1
01000010110100,1
01000010111101,1
01000011000000,2
01000011000001,1
01000011000010,2
01000011000011,1
01000011000101,1
01000011000110,1
01000011001010,1
01000011001100,1
01000011010001,1
00000100001110,1
01000011100000,2
01000011100001,2
01000011100011,1
01000011101001,1
01000011110000,1
01000011111000,1
01000011111010,1
01000011111111,1
00000000010001,1
00000100010000,3
01000100000000,2
01000100000001,1
01000100000010,5
01000100000110,2
01000100001010,1
01000100001100,1
00000100010001,1
01000100010000,2
01000100010001,1
01000100010011,1
01000100010100,1
01000100011000,2
01000100011010,1
00000100010010,1
01000100100000,4
01000100100001,1
01000100100100,1
01000100101110,1
01000100110010,1
01000100110100,1
01000100111101,1
00000100010100,2
01000101000000,1
01000101000001,1
01000101001000,1
01000101001100,1
01000101001101,1
01000101001110,2
01000101010000,2
01000101010110,1
01000101010111,1
01000101100100,1
01000101101100,1
01000101110001,1
01000101110101,1
01000101111001,1
00000100011000,2
01000110000000,7
01000110000001,3
01000110000010,1
01000110000011,1
01000110000100,2
01000110001001,1
01000110010000,2
01000110010110,1
01000110100000,1
01000110100101,1
01000110100111,1
01000110101000,1
01000110110100,1
01000111000000,1
01000111000010,2
01000111000100,1
01000111000101,1
01000111000110,1
01000111000111,1
01000111001000,1
01000111001011,1
01000111001100,1
01000111010000,1
01000111011000,2
01000111100001,1
01000111101000,1
00000000010010,1
00000100100000,3
01001000000000,4
01001000000010,1
01001000000100,1
01001000001000,1
01001000001011,1
00000100100001,2
01001000010000,2
01001000010010,1
01001000010011,1
01001000010111,1
01001000011000,1
01001000011110,1
00000100100010,1
01001000100000,1
01001000100100,1
01001000101000,1
01001000101100,1
00000100100011,1
01001000110100,1
01001000111100,1
00000100100100,2
01001001000000,2
01001001000001,1
01001001000010,1
01001001000100,1
01001001001000,2
01001001001010,2
01001001001100,1
01001001010000,1
01001001011011,1
01001001100110,1
01001001110000,1
01001001110010,1
00000100101000,1
01001010000000,1
01001010000010,1
01001010000100,1
01001010000110,1
01001010001000,1
01001010001111,1
01001010010010,1
00000100101010,3
01001010100001,1
01001010100010,1
01001010100100,1
01001010100101,1
01001010101001,1
01001010101100,1
01001010111000,1
01001010111001,1
01001011000000,2
01001011000101,1
01001011010011,1
01001011010100,1
01001011100000,1
01001011100001,1
01001011110111,1
00000100110000,1
01001100000000,3
01001100000001,1
01001100000010,3
01001100000110,3
01001100001100,1
01001100001110,1
01001100001111,1
01001100010000,1
01001100010101,2
01001100100000,1
01001100100001,1
01001100100110,1
01001100101100,1
00000100110011,1
01001100110000,1
01001100110001,1
01001100111100,1
01001101000000,2
01001101001010,1
01001101010000,1
00000100110110,1
01001101110000,1
01001110000000,3
01001110000001,1
01001110000110,1
01001110001000,1
01001110010000,1
01001110010001,1
01001110011010,1
01001110100000,1
01001110101010,1
01001111000000,1
01001111000010,1
01001111110100,1
00000000010100,3
00000101000000,4
01010000000000,4
01010000000001,1
01010000000010,1
01010000000101,1
01010000001000,1
01010000001011,1
00000101000001,3
01010000010100,1
01010000011001,1
00000101000010,1
01010000100100,2
01010000100101,1
01010000110001,1
01010001000000,1
01010001000100,1
00000101000101,2
01010001010100,1
01010001011000,1
00000101000110,1
01010001100000,1
01010001110010,1
00000101001000,1
01010010000000,2
01010010000001,2
01010010000010,2
01010010000011,1
01010010000100,2
01010010000111,1
01010010001000,2
01010010010000,1
01010010010110,1
01010010011000,1
01010010100000,1
01010010100001,1
01010010100010,1
01010010100011,1
01010010101000,3
01010010110001,1
01010010110011,1
01010011000001,1
01010011000010,1
01010011000011,1
01010011001010,1
01010011010100,1
01010011011110,1
01010011100100,1
00000101010000,1
01010100000000,1
01010100000001,2
01010100000010,1
01010100000100,1
01010100000101,1
01010100000110,1
01010100001000,3
01010100001010,1
01010100001011,1
00000101010001,1
01010100010000,1
01010100100000,1
01010100101000,1
01010100110000,1
01010100110001,1
01010100111100,1
01010100111110,1
00000101010100,2
01010101000000,2
01010101000011,1
01010101000100,1
01010101001101,1
01010101010110,1
00000101010110,1
01010101101100,1
01010101110101,1
00000101011000,1
01010110000000,2
01010110000001,1
01010110000010,1
01010110000100,1
01010110001000,1
01010110001011,1
00000101011010,2
01010110100000,2
