Measurement outcome,Frequency
00001111100101,1
00001111100110,1
00001111110010,1
00001111111000,1
00001111111010,1
00010000000000,17
00010000000001,2
00010000000010,4
00010000000100,6
00010000000110,4
00010000001000,4
00010000001101,1
00010000010000,1
00010000010100,1
00010000010110,2
00010000011000,2
00010000011010,1
00010000011100,1
00010000100000,4
00010000100001,1
00010000100010,1
00010000100011,1
00010000100100,3
00010000100101,1
00010000100110,1
00010000101000,1
00010000110000,2
00010000110010,1
00010001000000,2
00010001000001,2
00010001000100,1
00010001000101,1
00010001000110,2
00010001001001,1
00010001001010,1
00010001001100,2
00010001001110,1
00010001010000,1
00010001010001,1
00010001010010,1
00010001010100,2
00010001011001,1
00010001100000,6
00010001100001,1
00010001100101,1
00010001100110,1
00010001101001,1
00010001101010,1
00010001101100,1
00010001101110,1
00010001110000,3
00010001110100,1
00010001110110,1
00010001111001,2
00010010000000,4
00010010000001,1
00010010000010,4
00010010000110,2
00010010001011,1
00010010001100,1
00010010010000,1
00010010010010,1
00010010011010,1
00010010100000,4
00010010100001,1
00010010100100,2
00010010100101,1
00010010101000,1
00010010101110,1
00010010110000,2
00010010110001,1
00010010110010,1
00010010110110,1
00010010111010,1
00010011000000,7
00010011000001,1
00010011000100,1
00010011000110,2
00010011000111,1
00010011001000,1
00010011010001,1
00010011010010,1
00010011010100,1
00010011011000,1
00010011011011,1
00010011011110,1
00010011100000,1
00010011100010,5
00010011100110,1
00010011100111,1
00010011101000,1
00010011110000,1
00010011110100,2
00010011110101,1
00010100000000,13
00010100000010,5
00010100000011,1
00010100000100,4
00010100000101,1
00010100000110,2
00010100001000,1
00010100001110,3
00010100010000,2
00010100010100,1
00010100010110,1
00010100100000,2
00010100100001,2
00010100100010,3
00010100100011,1
00010100100100,7
00010100100101,1
00010100100110,1
00010100101001,1
00010100101100,1
00010100110000,1
00010100110100,3
00010100110110,1
00010100111010,1
00010100111111,1
00010101000000,7
00010101000001,2
00010101000010,1
00010101000100,1
00010101001000,1
00010101010000,1
00010101010010,1
00010101010110,2
00010101100000,6
00010101100010,1
00010101100100,2
00010101100101,1
00010101101000,2
00010101101100,1
00010101101110,2
00010101101111,1
00010101110010,2
00010101110101,2
00010101110110,1
00010101111000,1
00010101111010,1
00010110000000,5
00010110000010,2
00010110000100,1
00010110001000,1
00010110010110,1
00010110011001,1
00010110011100,1
00010110011101,1
00010110100000,3
00010110100011,1
00010110100101,1
00010110101000,1
00010110101010,1
00010110101011,1
00010110101100,1
00010110110000,3
00010110110010,1
00010110110101,1
00010110111111,1
00010111000000,2
00010111001000,1
00010111001011,1
00010111001100,2
00010111001110,1
00010111010000,2
00010111010100,2
00010111011010,1
00010111011100,1
00010111100000,1
00010111100001,1
00010111100110,1
00010111100111,1
00010111101100,1
00010111111000,1
00010111111100,1
00010111111110,1
00011000000000,11
00011000000001,1
00011000000010,2
00011000000011,2
00011000000101,2
00011000000110,2
00011000001001,2
00011000001010,2
00011000010100,2
00011000010101,1
00011000011010,1
00011000100000,8
00011000100001,3
00011000100010,1
00011000100011,1
00011000100100,1
00011000100110,1
00011000101100,2
00011000101111,1
00011000110000,1
00011000110100,1
00011001000000,2
00011001000001,3
00011001000100,1
00011001000110,2
00011001001000,1
00011001001101,1
00011001001111,1
00011001011001,1
00011001100000,3
00011001100010,1
00011001100110,1
00011001101000,2
00011001101010,1
00011001110010,1
00011001110110,1
00011010000000,3
00011010000010,1
00011010000101,1
00011010001100,1
00011010001110,2
00011010001111,1
00011010010000,1
00011010011000,1
00011010011100,1
00011010100100,2
00011010100110,1
00011010101000,1
00011010101110,1
00011010101111,1
00011010110000,1
00011010110111,1
00011010111000,1
00011010111110,1
00011011001000,1
00011011001110,1
00011011010000,1
00011011010110,1
00011011100000,1
00011011100001,1
00011011100100,1
00011011101000,2
00011100000000,21
00011100000001,4
00011100000010,3
00011100000100,2
00011100000101,1
00011100000111,2
00011100001000,1
00011100001001,1
00011100001010,1
00011100001100,1
00011100001110,1
00011100010000,1
00011100010001,1
00011100010100,2
00011100010110,2
00011100011110,1
00011100011111,1
00011100100000,6
00011100100001,1
00011100100010,1
00011100100100,2
00011100100101,3
00011100100110,1
00011100101000,1
00011100101010,1
00011100101100,1
00011100101101,1
00011100101110,1
00011100110000,3
00011100110100,1
00011100111000,1
00011101000000,4
00011101000001,1
00011101000010,3
00011101000110,1
00011101001000,1
00011101001110,1
00011101010000,1
00011101011000,1
00011101011010,1
00011101100000,3
00011101100010,2
00011101100100,1
00011101100101,1
