Measurement outcome,Frequency
00000000,668
00000001,301
00000010,187
00000011,188
00000100,147
00000101,60
00000110,82
00000111,102
00001000,91
00001001,41
00001010,33
00001011,45
00001100,58
00001101,28
00001110,48
00001111,71
00010000,156
00010001,78
00010010,45
00010011,34
00010100,31
00010101,31
00010110,21
00010111,24
00011000,43
00011001,23
00011010,22
00011011,28
00011100,27
00011101,20
00011110,38
00011111,27
00100000,71
00100001,37
00100010,18
00100011,19
00100100,18
00100101,6
00100110,18
00100111,13
00101000,18
00101001,9
00101010,9
00101011,10
00101100,10
00101101,8
00101110,13
00101111,18
00110000,46
00110001,21
00110010,19
00110011,11
00110100,17
00110101,10
00110110,14
00110111,17
00111000,26
00111001,20
00111010,16
00111011,15
00111100,24
00111101,18
00111110,22
00111111,28
01000000,107
01000001,55
01000010,32
01000011,30
01000100,18
01000101,8
01000110,17
01000111,11
01001000,17
01001001,9
01001010,8
01001011,11
01001100,10
01001101,10
01001110,8
01001111,11
01010000,23
01010001,8
01010010,9
01010011,12
01010100,4
01010101,2
01010110,6
01010111,7
01011000,11
01011001,5
01011010,6
01011011,6
01011100,13
01011101,4
01011110,7
01011111,7
01100000,75
01100001,33
01100010,23
01100011,24
01100100,19
01100101,9
01100110,12
01100111,14
01101000,21
01101001,13
01101010,17
01101011,11
01101100,15
01101101,14
01101110,17
01101111,20
01110000,63
01110001,20
01110010,19
01110011,27
01110100,13
01110101,15
01110110,16
01110111,24
01111000,56
01111001,24
01111010,25
01111011,18
01111100,36
01111101,22
01111110,35
01111111,31
10000000,144
10000001,51
10000010,30
10000011,33
10000100,28
10000101,20
10000110,11
10000111,19
10001000,30
10001001,13
10001010,2
10001011,9
10001100,14
10001101,6
10001110,6
10001111,8
10010000,41
10010001,13
10010010,8
10010011,8
10010100,6
10010101,2
10010110,5
10010111,6
10011000,12
10011001,2
10011010,6
10011011,7
10011100,3
10011101,7
10011110,6
10011111,10
10100000,39
10100001,18
10100010,8
10100011,9
10100100,3
10100101,2
10100110,11
10100111,8
10101000,9
10101001,11
10101010,3
10101011,3
10101100,8
10101101,7
10101110,5
10101111,5
10110000,25
10110001,9
10110010,6
10110011,12
10110100,9
10110101,5
10110110,14
10110111,7
10111000,13
10111001,12
10111010,9
10111011,10
10111100,10
10111101,7
10111110,13
10111111,13
11000000,155
11000001,71
11000010,28
11000011,37
11000100,22
11000101,24
11000110,25
11000111,37
11001000,32
11001001,13
11001010,10
11001011,14
11001100,8
11001101,4
11001110,11
11001111,12
11010000,46
11010001,26
11010010,12
11010011,15
11010100,19
11010101,8
11010110,13
11010111,18
11011000,22
11011001,10
11011010,10
11011011,6
11011100,9
11011101,12
11011110,16
11011111,14
11100000,176
11100001,97
11100010,50
11100011,54
11100100,52
11100101,25
11100110,31
11100111,39
11101000,50
11101001,33
11101010,24
11101011,21
11101100,28
11101101,37
11101110,36
11101111,43
11110000,159
11110001,64
11110010,61
11110011,49
11110100,73
11110101,39
11110110,49
11110111,61
11111000,91
11111001,42
11111010,43
11111011,45
11111100,57
11111101,55
11111110,76
11111111,94
