Measurement outcome,Frequency
0000000000,342
0000000001,72
0000000010,64
0000000011,36
0000000100,87
0000000101,24
0000000110,41
0000000111,44
0000001000,46
0000001001,7
0000001010,16
0000001011,16
0000001100,36
0000001101,12
0000001110,44
0000001111,26
0000010000,72
0000010001,12
0000010010,14
0000010011,15
0000010100,20
0000010101,8
0000010110,22
0000010111,20
0000011000,24
0000011001,6
0000011010,6
0000011011,6
0000011100,25
0000011101,10
0000011110,22
0000011111,18
0000100000,112
0000100001,24
0000100010,18
0000100011,17
0000100100,23
0000100101,9
0000100110,22
0000100111,22
0000101000,21
0000101001,6
0000101010,13
0000101011,5
0000101100,17
0000101101,9
0000101110,22
0000101111,19
0000110000,36
0000110001,13
0000110010,11
0000110011,7
0000110100,17
0000110101,9
0000110110,11
0000110111,20
0000111000,19
0000111001,6
0000111010,9
0000111011,8
0000111100,21
0000111101,8
0000111110,18
0000111111,19
0001000000,56
0001000001,7
0001000010,9
0001000011,2
0001000100,15
0001000101,2
0001000110,6
0001000111,5
0001001000,11
0001001001,2
0001001010,1
0001001011,3
0001001100,4
0001001101,2
0001001110,12
0001001111,5
0001010000,19
0001010001,1
0001010010,5
0001010011,1
0001010100,3
0001010101,5
0001010110,5
0001010111,4
0001011000,5
0001011001,2
0001011010,1
0001011011,4
0001011100,6
0001011101,5
0001011110,6
0001011111,4
0001100000,36
0001100001,10
0001100010,5
0001100011,4
0001100100,13
0001100101,4
0001100110,13
0001100111,6
0001101000,11
0001101001,2
0001101010,6
0001101011,4
0001101100,12
0001101101,2
0001101110,10
0001101111,14
0001110000,18
0001110001,3
0001110010,6
0001110011,2
0001110100,15
0001110101,5
0001110110,15
0001110111,12
0001111000,10
0001111001,3
0001111010,1
0001111011,5
0001111100,13
0001111101,5
0001111110,16
0001111111,12
0010000000,47
0010000001,9
0010000010,6
0010000011,5
0010000100,16
0010000101,4
0010000110,10
0010000111,5
0010001000,12
0010001010,3
0010001011,2
0010001100,12
0010001110,6
0010001111,6
0010010000,16
0010010001,3
0010010010,2
0010010011,1
0010010100,4
0010010101,1
0010010110,3
0010010111,5
0010011000,2
0010011010,3
0010011011,2
0010011100,4
0010011101,1
0010011110,3
0010011111,1
0010100000,26
0010100001,6
0010100010,3
0010100011,2
0010100100,5
0010100101,1
0010100110,6
0010100111,1
0010101000,1
0010101001,2
0010101010,1
0010101011,1
0010101100,2
0010101110,3
0010101111,5
0010110000,8
0010110001,3
0010110010,5
0010110011,2
0010110100,6
0010110110,5
0010110111,2
0010111000,7
0010111010,2
0010111100,5
0010111110,6
0010111111,3
0011000000,29
0011000001,1
0011000010,5
0011000011,4
0011000100,5
0011000101,4
0011000110,5
0011000111,5
0011001000,4
0011001010,2
0011001011,1
0011001100,4
0011001101,1
0011001110,1
0011001111,5
0011010000,19
0011010001,3
0011010010,2
0011010100,1
0011010101,3
0011010110,4
0011010111,2
0011011000,4
0011011001,4
0011011011,1
0011011100,3
0011011101,2
0011011110,5
0011011111,6
0011100000,32
0011100001,8
0011100010,6
0011100011,6
0011100100,12
0011100101,6
0011100110,11
0011100111,8
0011101000,10
0011101001,3
0011101010,3
0011101011,4
0011101100,10
0011101101,4
0011101110,8
0011101111,8
0011110000,17
0011110001,5
0011110010,1
0011110011,3
0011110100,6
0011110101,6
0011110110,9
0011110111,6
0011111000,8
0011111001,7
0011111010,6
0011111011,4
0011111100,6
0011111101,1
0011111110,14
