Measurement outcome,Frequency
00000,1542
00001,336
10000,734
10001,132
10010,143
10011,93
10100,96
10101,31
10110,156
10111,124
11000,228
11001,47
11010,91
11011,59
11100,226
11101,86
11110,748
11111,559
00010,164
00011,215
00100,116
00101,35
00110,191
00111,232
01000,232
01001,61
01010,88
01011,76
01100,189
01101,99
01110,486
01111,577
