Measurement outcome,Frequency
00000000000000000000000000000000000000000000000000,2493
11111111111111111111111111111111111111111111111111,3069
11111100000000000000000000000000000000000000000000,18
00000000000000000000001111111111111111111111111111,17
11111111111111111111111111111111111111111111110000,18
10000000000000000000000000000000000000000000000000,12
11111111111111111111111111111111111111110000000000,23
01111111111111111111111111111111111111111111111111,3
00000000000000000001111111111111111111111111111111,19
11111110000000000000000000000000000000000000000000,22
11111111111111111111111111100000000000000000000000,45
11111111111111111111111111111111111000000000000000,20
11111111111111111111111111110000000000000000000000,39
00000000000000000000000000000000000000000000000111,8
00011111111111111111111111111111111111111111111111,9
00001111111111111111111111111111111111111111111111,17
11111000000000000000000000000000000000000000000000,13
11111111111111111111000000000000000000000000000000,47
11111111110000000000000000000000000000000000000000,21
11100000000000000000000000000000000000000000000000,11
00000000000000000000000000000000011111111111111111,10
11111111111111111111111111111110000000000000000000,53
00000000000000011111111111111111111111111111111111,45
11111111111111111111111111111111111100000000000000,9
11110000000000000000000000000000000000000000000000,19
00000000000000000000000000000111111111111111111111,15
11111111111111111111111111111000000000000000000000,48
00000000000000000000000000011111111111111111111111,21
11111111111111111111111111111111100000000000000000,32
00000000000000000000011111111111111111111111111111,23
11111111111111111111111111111111111111111111000000,29
00000000001111111111111111111111111111111111111111,30
11111111100000000000000000000000000000000000000000,9
11111111111111111111111111111111111111111111111110,10
00000000000011111111111111111111111111111111111111,34
11111111111111111000000000000000000000000000000000,38
11111111111111111100000000000000000000000000000000,50
00000000000000000000000000000000000000000000111111,4
11111111111111111111100000000000000000000000000000,45
00000000000000000000000000000000000111111111111111,27
00000000000000001111111111111111111111111111111111,27
11111111000000000000000000000000000000000000000000,13
11111111111111111111111111111111111111111000000000,26
11000000000000000000000000000000000000000000000000,15
00000000000000000000000000000000000000000011111111,4
00000000000000000000111111111111111111111111111111,22
00000000000000000000000000000000000000000000001111,7
11111111111111111111111111111111111111111111100000,19
00000000000000000000000000001111111111111111111111,15
11111111111111111111111111000000000000000000000000,35
00000000000000000000000000000000000011111111111111,34
00000000000000000000000000111111111111111111111111,15
00000000000000000000000000000000000000000001111111,7
11111111111111110000000000000000000000000000000000,21
11111111111111111111111111111111111111111111111100,8
00000000000000000000000001111111111111111111111111,13
00000000000000000000000000000000000000111111111111,20
00000000000000000000000000000000000000000000011111,5
11111111111100000000000000000000000000000000000000,15
00000000000000000000000000000000000000011111111111,10
00000001111111111111111111111111111111111111111111,17
11111111111111111111111111111111000000000000000000,31
11111111111111111111111111111111111111111110000000,32
00111111111111111111111111111111111111111111111111,11
11111111111111111111111111111111111111100000000000,37
00000000000000000000000000000001111111111111111111,14
00000000000000000000000011111111111111111111111111,20
11111111111111000000000000000000000000000000000000,15
00000000000000000000000000000000000000000111111111,18
00000000000000000000000000000000111111111111111111,6
00000000111111111111111111111111111111111111111111,29
11111111111111111111111111111111111111000000000000,29
00000000011111111111111111111111111111111111111111,40
11111111111111111111111000000000000000000000000000,41
00000000000000000000000000000000000000000000000001,12
00000011111111111111111111111111111111111111111111,22
00000000000000000000000000000011111111111111111111,8
00000000000001111111111111111111111111111111111111,48
11111111111111111111111110000000000000000000000000,43
11111111111111111111111100000000000000000000000000,48
00000000000000111111111111111111111111111111111111,45
00000111111111111111111111111111111111111111111111,13
11111111111111100000000000000000000000000000000000,24
11111111111111111111111111111100000000000000000000,31
