Measurement outcome,Frequency
1111111111111,3233
0000000000000,4849
1111000000000,5
1111111111000,2
1111111111110,2
1110000000000,5
0111111111111,2
0000000011111,4
1111111100000,3
0000000000011,6
1111111110000,5
0000000000111,8
1111110000000,4
0000001111111,5
1111111000000,5
1000000000000,3
0000000001111,4
0011111111111,1
0000011111111,5
0000000111111,7
0000111111111,5
1100000000000,5
1111100000000,8
1111111111100,4
0000010000000,1
1000000011111,1
1000000001111,1
0000000111000,1
0000000000010,1
1111100111111,1
0000000010000,1
1101111111111,1
1111000000001,1
0000001100000,1
1110111111111,1
1000000000011,1
