Measurement outcome,Frequency
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,130
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2304
1111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000,19
1111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000,9
1111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000,20
1111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000,57
1111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000,11
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,8
0000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111,3
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000,16
0000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111,4
0000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111,1
0000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111,1
1111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000,83
1111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000,24
0000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,13
0000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111,7
0000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111,4
1111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000,78
0000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111,8
1111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000,16
0000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111,8
0000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111,1
1111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000,89
0000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111,2
1111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000,12
1111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3
1111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000,13
0000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111,1
0000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111,10
0000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,4
1111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3
1111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000,100
0000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111,2
1111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000,16
1111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000,39
0000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111,1
0000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111,7
1111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000,40
0000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111,5
1111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000,29
1111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000,16
1111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000,51
0000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111,1
