Measurement outcome,Frequency
000000000000000,5302
111111111111111,2649
111111111110000,3
000000000000001,6
111111111000000,10
111111000000000,9
000000000111111,10
000011111111111,6
110000000000000,9
111111111111110,6
000000000001111,9
001111111111111,2
100000000000000,4
000000000000111,6
000000111111111,8
000000000011111,13
111111111100000,4
111111100000000,9
111100000000000,13
111110000000000,11
000001111111111,4
111000000000000,12
111111111111000,3
011111111111111,2
000111111111111,3
000000011111111,16
111111111111100,4
111111110000000,8
000000000000011,6
000000001111111,7
110000000011111,1
000000001100000,2
111111111110111,1
010000000000000,1
000000000111000,1
000000011111000,1
100000011111111,1
000000000001000,2
111111111110011,1
111111000001111,1
000110000000000,1
111100000000001,1
000111000000000,1
111100000000011,1
100000111111111,1
000000110000000,1
001111100000000,1
000000000010000,1
011111100000000,1
111111111100111,1
000000011000000,1
011111110000000,1
000000001110000,1
011111111111100,2
000000011111100,1
000001100000000,1
110000000000011,1
111000011111111,1
000011111000000,1
111111111011111,1
110000000111111,1
000000000001110,1
000111111110000,1
000000000100000,1
001111000000001,1
